Place,Year,Month,Unemployment Rate
"Kusilvak Census Area, Alaska",2018,January,19.5
"Lake and Peninsula Borough, Alaska",2018,May,9.6
"Lake and Peninsula Borough, Alaska",2018,April,10.9
"Lake and Peninsula Borough, Alaska",2018,March,12.6
"Lake and Peninsula Borough, Alaska",2018,February,13.5
"Lake and Peninsula Borough, Alaska",2018,January,14.2
"Matanuska-Susitna Borough, Alaska",2018,May,6.6
"Matanuska-Susitna Borough, Alaska",2018,April,7.4
"Matanuska-Susitna Borough, Alaska",2018,March,8.1
"Matanuska-Susitna Borough, Alaska",2018,February,8.5
"Matanuska-Susitna Borough, Alaska",2018,January,8.4
"Nome Census Area, Alaska",2018,May,10.9
"Nome Census Area, Alaska",2018,April,11.1
"Nome Census Area, Alaska",2018,March,11.3
"Nome Census Area, Alaska",2018,February,12.0
"Nome Census Area, Alaska",2018,January,11.4
"North Slope Borough, Alaska",2018,May,6.3
"North Slope Borough, Alaska",2018,April,6.5
"North Slope Borough, Alaska",2018,March,6.1
"North Slope Borough, Alaska",2018,February,6.6
"North Slope Borough, Alaska",2018,January,6.5
"Northwest Arctic Borough, Alaska",2018,May,13.0
"Northwest Arctic Borough, Alaska",2018,April,13.4
"Northwest Arctic Borough, Alaska",2018,March,13.5
"Northwest Arctic Borough, Alaska",2018,February,14.6
"Northwest Arctic Borough, Alaska",2018,January,14.4
"Petersburg Borough, Alaska",2018,May,7.4
"Petersburg Borough, Alaska",2018,April,8.8
"Petersburg Borough, Alaska",2018,March,11.0
"Petersburg Borough, Alaska",2018,February,10.6
"Petersburg Borough, Alaska",2018,January,11.5
"Prince of Wales-Hyder Census Area, Alaska",2018,May,9.7
"Prince of Wales-Hyder Census Area, Alaska",2018,April,10.7
"Prince of Wales-Hyder Census Area, Alaska",2018,March,12.4
"Prince of Wales-Hyder Census Area, Alaska",2018,February,13.6
"Prince of Wales-Hyder Census Area, Alaska",2018,January,12.7
"Sitka Borough/city, Alaska",2018,May,3.3
"Sitka Borough/city, Alaska",2018,April,4.1
"Sitka Borough/city, Alaska",2018,March,4.3
"Sitka Borough/city, Alaska",2018,February,4.6
"Sitka Borough/city, Alaska",2018,January,5.0
"Skagway Municipality, Alaska",2018,May,4.0
"Skagway Municipality, Alaska",2018,April,11.1
"Skagway Municipality, Alaska",2018,March,17.6
"Skagway Municipality, Alaska",2018,February,22.0
